"tag","StemTag","stemID","quadrat","sp","Latin","gx","gy","hom","dbh.2008","codes.2008","status.2008","date.2008","agb.2008","dbh.2013","codes.2013","status.2013","date.2013","agb.2013","dbh.2018","codes.2018","status.2018","date.2018","agb.2018","status.2014","status.2015","dbh.if.dead.2015","agb.if.dead.2015","perc.crown","crown.position","fad1","fad2","fad3","fad4","DF","liana.load","fraxinus.crown.thinning","fraxinus.epicormic.growth","EABF","DE.count","comments","date.2015","surveyors"
10119,1,1101,"0101","vipr","Viburnum prunifolium",15.7,9.4,1.3,72.5,"I;M","A","10/21/2008",0.02,84,"M","A","3/13/2013",0.02,103,"M","A","8/27/2018",0.04,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10119,2,32218,"0101","vipr","Viburnum prunifolium",15.7,9.4,1.3,63.4,"S","A","10/21/2008",0.01,68,"S","A","3/13/2013",0.01,77,"S","A","8/27/2018",0.02,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10119,3,36961,"0101","vipr","Viburnum prunifolium",15.7,9.4,1.3,46.8,"S","A","10/21/2008",0.01,67,"S","A","3/13/2013",0.01,90,"S","A","8/27/2018",0.03,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10122,1,1104,"0101","juni","Juglans nigra",15.6,13.6,1.3,761.9,"NULL","A","10/21/2008",4.94,815,"NULL","A","3/13/2013",5.79,870,"NULL","A","8/27/2018",6.75,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10127,1,1105,"0101","ceoc","Celtis occidentalis",15.6,14.2,1.3,87.8,"NULL","A","10/21/2008",0.03,95,"NULL","A","3/13/2013",0.03,93,"NULL","A","8/27/2018",0.03,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10129,1,1107,"0101","ceoc","Celtis occidentalis",15.6,14.2,1.3,124.1,"NULL","A","10/21/2008",0.06,0,"DC","D","3/13/2013",0,NA,"DN","D","8/27/2018",NA,"PD","PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10130,1,1108,"0101","ceoc","Celtis occidentalis",15.6,16.2,1.3,102.3,"NULL","A","10/21/2008",0.04,113,"NULL","A","3/13/2013",0.05,119,"NULL","A","8/27/2018",0.05,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10131,1,1109,"0101","casp","Carya sp",15.6,18.4,1.3,242.1,"D;G","D","10/21/2008",0.37,0,"DC","D","3/13/2013",0,NA,"DN","D","8/27/2018",NA,"PD","PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10133,1,1111,"0102","libe","Lindera benzoin",15.2,26.1,1.3,50.9,"M","A","10/21/2008",0.01,0,"DN","G","3/21/2013",0,NA,"DN","G","8/27/2018",NA,"PD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10134,1,1112,"0102","fram","Fraxinus americana",16.8,27.3,1.3,493.6,"NULL","A","10/21/2008",1.8,503.5,"NULL","A","3/21/2013",1.88,511,"DS","D","8/27/2018",1.95,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10136,1,1113,"0102","ceoc","Celtis occidentalis",15.1,27.6,1.3,159.1,"NULL","A","10/21/2008",0.11,156,"NULL","A","3/21/2013",0.1,162,"NULL","A","8/27/2018",0.11,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10139,1,1115,"0102","ceoc","Celtis occidentalis",13.9,29.6,1.3,411.9,"NULL","A","10/21/2008",1.09,445,"NULL","A","3/21/2013",1.31,476,"NULL","A","8/27/2018",1.54,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10142,1,1117,"0102","ceoc","Celtis occidentalis",15.9,29.9,1.3,82.6,"NULL","A","10/21/2008",0.02,86.5,"NULL","A","3/21/2013",0.03,90,"I","A","8/27/2018",0.03,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10154,1,1128,"0102","ceoc","Celtis occidentalis",11,36,1.3,92.1,"NULL","A","10/21/2008",0.03,95,"NULL","A","3/21/2013",0.03,99,"NULL","A","8/27/2018",0.03,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10157,1,1131,"0102","fram","Fraxinus americana",4.3,38.9,1.3,449.2,"NULL","A","10/21/2008",1.45,474,"NULL","A","3/21/2013",1.64,489,"NULL","A","8/27/2018",1.76,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-07,"Eng; Gonzalez"
10160,1,1134,"0103","acru","Acer rubrum",11.5,42.6,1.3,607.1,"M","A","10/21/2008",2.84,623.5,"M","A","3/29/2013",3.03,653,"M","A","8/27/2018",3.41,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10160,2,32233,"0103","acru","Acer rubrum",11.5,42.6,1.3,600.1,"S","A","10/21/2008",2.76,591.1,"S","A","3/29/2013",2.65,615,"S","A","8/27/2018",2.93,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10161,1,1135,"0103","frni","Fraxinus nigra",18,46.1,1.3,115.8,"NULL","A","10/21/2008",0.07,126,"NULL","A","3/29/2013",0.08,NA,"DS","D","8/27/2018",NA,"A","DS",128,0.08,2,"I","I","DF","","",NA,0,NA,NA,NA,NA,"But epicomic growth, beetle holes, see pics, live beetles no EAB",2015-07-15,"Gonzalez "
10162,1,1136,"0103","unk","Unidentified unk",16.2,55.4,1.3,238.4,"D;Q","D","10/21/2008",0.29,0,"DC","D","3/29/2013",0,NA,"DN","D","8/27/2018",NA,"PD","PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10163,1,1137,"0103","litu","Liriodendron tulipifera",15.4,57.2,1.3,631.8,"NULL","A","10/21/2008",2.81,638.5,"NULL","A","3/29/2013",2.88,673,"NULL","A","8/27/2018",3.26,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10165,1,1139,"0103","acru","Acer rubrum",12.9,58,1.3,439.7,"NULL","A","10/21/2008",1.26,442.9,"NULL","A","3/29/2013",1.28,453,"NULL","A","8/27/2018",1.36,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10166,1,1140,"0103","frni","Fraxinus nigra",12.7,58.4,1.3,135.9,"NULL","A","10/21/2008",0.1,144.3,"NULL","A","3/29/2013",0.11,NA,"DS","D","8/27/2018",NA,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10178,1,1151,"0104","frni","Fraxinus nigra",18.8,73.3,1.3,128.9,"M","A","10/21/2008",0.08,136.1,"M","A","4/1/2013",0.1,141,"DS","D","8/27/2018",0.1,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"y= 3.3",2015-07-15,"Gonzalez "
10178,2,32238,"0104","frni","Fraxinus nigra",18.8,73.3,1.3,13,"S","A","10/21/2008",0,0,"S;R","G","4/1/2013",0,NA,"DN","D","8/27/2018",NA,NA,"DN",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"y= 3.3",2015-07-15,"Gonzalez "
10181,1,1153,"0104","vipr","Viburnum prunifolium",12.9,63.4,1.3,64.8,"L;M","A","10/21/2008",0.01,65.1,"L;M","A","4/1/2013",0.01,69,"M","A","8/27/2018",0.01,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10185,1,1157,"0104","acru","Acer rubrum",10.9,62.7,1.3,556.3,"NULL","A","10/21/2008",2.28,559.2,"NULL","A","4/1/2013",2.31,580,"NULL","A","8/27/2018",2.53,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10186,1,1158,"0104","qual","Quercus alba",10.3,62.7,1.3,298.2,"NULL","A","10/21/2008",0.64,314.2,"M","A","4/1/2013",0.71,330,"NULL","A","8/27/2018",0.79,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10188,1,1159,"0104","amar","Amelanchier arborea",11.8,64.5,1.3,134.1,"NULL","A","10/21/2008",0.06,143,"NULL","A","4/1/2013",0.07,147,"M","A","8/27/2018",0.07,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10189,1,1160,"0104","acru","Acer rubrum",12.3,64.5,1.3,232.1,"NULL","A","10/21/2008",0.25,223.7,"NULL","A","4/1/2013",0.23,330,"NULL","A","8/27/2018",0.61,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10191,1,1162,"0104","amar","Amelanchier arborea",13.3,64.5,1.1,75.6,"A;L","A","10/21/2008",0.01,83.3,"M","A","4/1/2013",0.02,NA,"DS","G","8/27/2018",NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10193,1,1164,"0104","fram","Fraxinus americana",17.7,72.3,1.3,335.9,"NULL","A","10/21/2008",0.75,340,"NULL","A","4/1/2013",0.77,350,"NULL","A","8/27/2018",0.82,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10194,1,1165,"0104","fagr","Fagus grandifolia",14.9,73.2,1.3,275.8,"NULL","A","10/21/2008",0.44,307.8,"NULL","A","4/1/2013",0.57,346,"NULL","A","8/27/2018",0.76,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10196,1,1166,"0104","prse","Prunus serotina",17.2,77.9,1.3,180.5,"NULL","A","10/21/2008",0.12,191.1,"NULL","A","4/1/2013",0.14,219,"NULL","A","8/27/2018",0.2,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10197,1,1167,"0104","ceca","Cercis canadensis",17.3,79.1,1.3,199.8,"NULL","A","10/21/2008",0.2,210,"L","A","4/1/2013",0.23,255,"A;I","A","8/27/2018",0.36,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10205,1,1175,"0104","fagr","Fagus grandifolia",11.8,75,1.3,90.9,"NULL","A","10/21/2008",0.03,106,"P","A","4/1/2013",0.04,125,"NULL","A","8/27/2018",0.06,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10213,1,1182,"0104","fram","Fraxinus americana",6.4,77.7,1.3,405.4,"NULL","A","10/21/2008",1.15,449,"L","A","4/1/2013",1.45,475,"NULL","A","8/27/2018",1.65,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10249,1,1218,"0105","ulru","Ulmus rubra",13.2,98.4,1.3,302,"NULL","A","10/21/2008",0.48,0,"DC","D","4/2/2013",0,NA,"DN","D","8/28/2018",NA,"PD","PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10251,1,1219,"0105","fram","Fraxinus americana",10.9,98.9,1.3,103.8,"NULL","A","10/21/2008",0.05,108.2,"L","A","4/2/2013",0.06,109,"L","A","8/28/2018",0.06,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10253,1,1221,"0105","fram","Fraxinus americana",8.7,98.8,1.3,251.9,"NULL","A","10/21/2008",0.39,0,"DS","D","4/2/2013",0,NA,"DC","D","8/28/2018",NA,"PD","PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10263,1,1229,"0105","acne","Acer negundo",1.1,95.9,1.3,33.8,"M","A","10/21/2008",0,105.2,"M","A","4/2/2013",0.03,155,"M","A","8/28/2018",0.09,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10263,2,32273,"0105","acne","Acer negundo",1.1,95.9,1.3,24.7,"S","A","10/21/2008",0,74.8,"S","A","4/2/2013",0.01,128,"S","A","8/28/2018",0.06,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10266,1,1232,"0106","frni","Fraxinus nigra",18.4,101.9,1.3,169.1,"NULL","A","10/21/2008",0.16,0,"DC","D","4/5/2013",0,NA,"DN","D","8/28/2018",NA,"PD","PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10279,1,1243,"0106","fram","Fraxinus americana",17.5,108.3,1.3,98.8,"NULL","A","10/21/2008",0.05,125.1,"NULL","A","4/5/2013",0.08,155,"NULL","A","8/28/2018",0.13,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10280,1,1244,"0106","nysy","Nyssa sylvatica",19.7,112.3,1.3,239.6,"NULL","A","10/21/2008",0.27,247,"NULL","A","4/5/2013",0.29,256,"NULL","A","8/28/2018",0.32,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10284,1,1246,"0106","ceca","Cercis canadensis",15.7,103.2,1.3,139.5,"NULL","A","10/21/2008",0.09,153.2,"NULL","A","4/5/2013",0.11,175,"I","A","8/28/2018",0.15,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10285,1,1247,"0106","fram","Fraxinus americana",10.5,103.4,1.3,230.3,"NULL","A","10/21/2008",0.31,242.9,"NULL","A","4/5/2013",0.35,254,"NULL","A","8/28/2018",0.39,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"Tag lost",2015-07-15,"Gonzalez "
10286,1,1248,"0106","juni","Juglans nigra",9.5,103.4,1.3,218.5,"NULL","A","10/21/2008",0.26,0,"DS","D","4/5/2013",0,NA,"DS","D","8/28/2018",NA,"PD","PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10287,1,1249,"0106","caca","Carpinus caroliniana",13.9,112.9,1.3,161.3,"NULL","A","10/21/2008",0.11,181.1,"NULL","A","4/5/2013",0.14,190,"L","A","8/28/2018",0.16,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10290,1,1251,"0106","cofl","Cornus florida",9.8,112.8,1.3,63.9,"M","A","10/21/2008",0.01,71.8,"M","A","4/5/2013",0.01,74,"M","A","8/28/2018",0.01,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10292,1,1253,"0106","ulru","Ulmus rubra",9.4,113,1.3,164.3,"NULL","A","10/21/2008",0.11,170.8,"M","A","4/5/2013",0.12,NA,"DS","D","8/28/2018",NA,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10294,1,1255,"0106","unk","Unidentified unk",11.4,107,1.3,215.5,"D;Q","D","10/21/2008",0.23,0,"DC","D","4/5/2013",0,NA,"DN","D","8/28/2018",NA,"PD","PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10296,1,1257,"0106","juni","Juglans nigra",9.7,109.2,1.3,550.9,"NULL","A","10/21/2008",2.31,571.5,"NULL","A","4/5/2013",2.51,587,"NULL","A","8/28/2018",2.68,"A","A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10312,1,1271,"0105","libe","Lindera benzoin",11.8,94.8,1.2,65.7,"A;B;M;lost","G","10/21/2008",0.01,0,"DS","G","4/2/2013",0,NA,"DS","G","8/28/2018",NA,"PD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10338,1,1296,"0106","libe","Lindera benzoin",3.1,100.1,1.3,37,"M","A","10/21/2008",0,50.2,"NULL","A","4/5/2013",0.01,51,"M","A","8/28/2018",0.01,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10346,1,1304,"0106","acne","Acer negundo",0.6,102.6,1.3,44.2,"NULL","A","10/21/2008",0,99.1,"C;I","A","4/5/2013",0.03,129,"A","A","8/28/2018",0.06,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10367,1,1325,"0106","unk","Unidentified unk",6.3,103.2,1.3,166.9,"B;D;Q","D","10/21/2008",0.12,0,"DS","D","4/5/2013",0,NA,"DN","D","8/28/2018",NA,"PD","PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10376,1,1334,"0106","fram","Fraxinus americana",2.9,103.3,1.3,15.1,"D;Q","D","10/21/2008",0,16.3,"X","D","4/5/2013",0,NA,"DC","D","8/28/2018",NA,NA,"A",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
10379,1,1337,"0106","fram","Fraxinus americana",2.6,103.1,1.3,14,"D","D","10/21/2008",0,0,"DS","D","4/5/2013",0,NA,"DC","D","8/28/2018",NA,NA,"PD",NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",2015-07-15,"Gonzalez "
